,person,year,labinc,wt,age,hours,male,married,pp
66992,3330,2008,90166.8,738626,43,1300,1,1,1
66993,3766,2010,85000.0,1101766,51,1960,1,0,1
66994,5274,2000,34194.69,468292,40,2080,1,1,1
67003,8950,2014,11055.12,153122,50,3396,1,0,1
67004,1957,2004,56565.75,830739,45,2704,1,1,1
67008,4166,1998,38796.89,668493,38,1980,1,1,1
67009,12205,2008,36471.96,445019,49,2080,1,0,1
67012,5612,1988,16041.1,168286,27,2080,0,1,1
67013,6026,1996,37537.46,85416,35,2080,1,1,1
67015,10531,1993,48302.0,95520,29,2120,1,1,1
67019,2699,2000,13981.83,147602,41,2080,0,1,1
67022,4879,1998,27826.74,678060,40,2080,1,1,1
67023,10139,1989,22873.5,73575,27,1888,1,0,1
67030,8440,2000,17730.58,267237,37,2340,1,1,1
67033,6991,1993,33962.34,206069,33,2080,1,1,1
67034,10412,1994,9563.124,88153,29,2068,1,0,1
67036,3554,2000,43059.98,762317,36,2000,0,1,1
67037,2090,2004,36940.9,598065,40,4368,1,0,1
67042,1011,2000,63323.5,635722,37,2340,1,1,1
67043,8331,2000,22796.46,82700,37,1160,1,1,1
67044,2440,2000,37994.1,537927,36,1992,1,1,1
67047,7514,1989,22799.61,210019,30,2344,0,0,1
67050,8485,2000,16464.11,206698,39,1280,1,0,1
67051,6404,1987,23032.75,152625,27,2080,0,0,1
67053,5364,1993,19622.69,405820,30,1696,1,1,1
67056,4960,1989,40468.51,745988,31,3020,1,1,1
67060,7025,1984,76740.9,80525,26,2080,1,1,1
67065,8930,1989,68620.52,78371,28,2624,1,1,1
67068,8433,2012,71236.88,232324,49,2964,1,1,1
67069,8433,2008,61799.72,213888,44,4420,1,1,1
67077,9276,1988,14750.44,83336,27,1470,1,1,1
67080,2263,1998,40134.72,222377,35,2080,1,0,1
67081,10230,1986,35785.36,130515,26,2080,1,0,1
67084,6135,2000,35461.16,122944,39,2240,1,1,1
67095,483,1992,38856.66,710738,35,2080,1,1,1
67096,4369,2006,35704.4,780031,46,2600,1,0,1
