,person,year,labinc,wt,age,hours,male,married,pp
45136,8145,2000,77254.67,173018,37,3120,1,1,1
45137,9446,1996,41708.3,172038,39,2480,0,1,0
45138,5264,1989,51025.51,126860,32,2080,0,1,1
45139,9835,1994,22068.75,100922,29,1645,1,0,0
45140,4321,1989,51025.51,108947,27,2080,1,1,0
45141,2745,2010,26000.0,827572,50,1525,1,1,1
45142,6390,1987,26000.0,187540,26,2846,1,0,0
45143,12438,1990,43395.55,67265,26,2350,1,1,0
45144,8322,1992,32639.59,113199,34,3010,1,0,0
45145,6222,2000,19630.29,213296,37,2080,1,1,1
45146,3232,1993,48302.0,679854,36,2080,1,1,0
45147,1597,1993,19924.58,456856,30,1160,1,0,1
45148,2734,1989,29911.51,150765,29,2184,1,0,0
45149,2260,1987,28790.94,153326,26,2080,0,0,0
45150,5344,1998,35586.12,577028,34,2132,1,1,1
45151,4061,1994,34839.2,645697,32,2340,1,0,1
45152,11814,1991,16015.33,542777,27,920,0,0,0
45153,2789,1987,29750.63,163262,26,2080,0,1,0
45154,3116,1984,29381.6,865367,26,1000,1,1,1
45155,226,1988,15119.2,168687,25,1665,1,0,0
45156,5551,2004,36940.9,707315,40,2392,0,0,0
45157,4179,1994,51493.74,293898,36,2080,0,0,0
45158,8160,1989,25618.33,65751,25,2468,0,1,0
45159,4179,1996,44488.85,293898,38,1920,0,0,0
45160,4179,2008,49952.41,320242,50,1880,0,0,0
45161,5881,2012,36093.35,109420,54,2080,1,1,1
45162,3277,1988,36093.35,181588,30,1560,1,0,0
45163,3206,1989,51025.51,687363,25,1640,0,0,0
45164,3891,1989,26392.51,523361,26,3095,0,1,1
45165,8267,1989,55424.26,103978,32,2600,1,1,0
45166,3612,2000,48125.86,563558,37,2496,1,0,0
45167,2745,2008,32419.52,791290,49,2110,1,1,1
45168,5347,1993,43773.69,478325,30,2315,1,1,0
45169,5253,1991,24023.0,467103,27,2396,0,0,0
45170,3277,2006,64917.09,1041915,48,2000,1,1,0
45171,5151,1991,57655.2,615485,32,2652,0,1,0
45172,5835,2004,41558.52,113779,44,2080,0,0,1
45173,5566,1996,19463.87,594392,34,644,0,1,0
45174,9957,1991,7847.514,136936,26,960,1,0,0
45175,8719,1986,7952.303000000001,75322,27,1248,0,0,0
