,person,year,PPamount,labinc,wt,famsize,educ,hours,married
768,4371,1996,67000.0,52385.62,575897,4,12.0,2288,1
769,3777,1998,67000.0,40134.72,492556,4,12.0,2080,1
770,10406,2008,67000.0,40134.72,105288,3,18.0,3432,1
771,3807,1986,67000.0,37194.91,507906,2,12.0,2600,0
772,11917,1994,67000.0,58849.99,683302,3,12.0,2197,1
773,4705,1992,67000.0,87038.91,465191,1,16.0,4575,0
774,3062,1988,67000.0,105325.5,726623,1,16.0,2080,0
775,223,1989,67000.0,21114.0,235717,6,9.0,2120,0
776,570,1993,67000.0,45283.13,735053,4,12.0,3040,1
777,2725,2006,432.7806275,28130.74,692615,1,14.0,2600,0
778,4493,1989,432.7806275,40468.51,657897,2,13.0,2810,1
779,3278,1985,432.7806275,40534.57,121802,1,19.0,2352,0
780,5724,1994,432.7806275,22068.75,281178,4,11.0,2032,1
781,8706,1989,432.7806275,14262.51,141479,5,12.0,2000,1
782,4508,1998,432.7806275,66891.2,852979,1,16.0,2080,0
783,4508,1996,432.7806275,75074.93,771077,1,16.0,2340,0
784,4508,1988,432.7806275,46095.12,167913,1,16.0,2360,0
785,4508,1986,432.7806275,49701.89,169351,1,16.0,2104,0
786,12130,1994,432.7806275,17655.0,166686,3,12.0,2080,1
787,11977,1988,432.7806275,49782.73,189931,2,14.0,1464,1
788,3595,2008,432.7806275,7091.771,653222,2,12.0,2160,1
789,7563,2008,432.7806275,126638.8,295278,2,16.0,1560,1
790,3777,1989,432.7806275,51025.51,468798,5,12.0,2600,1
791,32,1994,432.7806275,44137.49,137803,1,18.0,2640,0
792,9846,1988,432.7806275,73752.19,99422,8,12.0,2520,1
793,934,1994,432.7806275,35310.0,764280,3,16.0,2546,1
794,3505,1986,432.7806275,45725.74,592449,1,12.0,2940,0
795,892,1989,432.7806275,33430.51,532508,1,12.0,2370,0
796,5162,1993,432.7806275,81509.63,506254,4,12.0,2540,1
797,2285,1993,432.7806275,37735.94,760649,4,20.0,1930,1
798,3487,2014,432.7806275,44220.47,672311,2,12.0,2080,1
799,4532,2012,432.7806275,63638.27,218442,4,16.0,1820,1
800,3762,2000,432.7806275,40527.04,593760,3,12.0,2860,1
801,1142,2008,432.7806275,311858.6,202115,1,16.0,2600,1
802,3497,2002,9093.21912,78807.9,665485,4,15.0,2600,1
803,729,1992,9093.21912,140389.1,695292,5,12.0,2460,1
804,70,1992,9093.21912,63724.92,672071,1,18.0,1550,0
805,4247,2004,9093.21912,86580.23,587762,4,13.0,2600,1
806,11977,1994,9093.21912,55907.49,187927,1,14.0,2360,0
807,4671,1991,9093.21912,16212.32,504649,4,11.0,720,1
808,11821,1989,9093.21912,66861.02,755220,1,16.0,2384,0
809,4439,1987,9093.21912,38387.91,830262,2,14.0,2125,1
810,4131,1989,9093.21912,38709.01,164842,1,13.0,2032,0
811,6942,2002,9093.21912,105481.3,94802,5,13.0,2505,1
812,6042,1994,9093.21912,50022.49,124716,1,16.0,4640,0
813,2748,2002,1091.186294,44859.88,598217,3,12.0,1760,1
814,5626,2014,38692.90932,100417.3,728931,3,12.0,2080,1
815,69,2014,13818.89619,128976.4,820681,4,18.0,2218,1
816,4569,1993,13818.89619,54339.75,454666,4,12.0,2304,1
817,7190,1992,13818.89619,26422.53,174672,1,16.0,2080,0
818,6827,1990,13818.89619,46733.67,112025,3,15.0,2080,1
819,3533,1985,13818.89619,53708.31,196127,2,14.0,2460,1
820,3533,1989,13818.89619,110560.0,209769,3,14.0,2080,1
821,4407,2014,13818.89619,341155.4,866536,2,16.0,2600,0
822,4407,2012,13818.89619,326578.3,790181,2,16.0,2600,0
823,3534,2002,13818.89619,326578.3,158707,3,16.0,3900,1
824,881,1989,13818.89619,34310.26,640411,3,16.0,1470,1
825,2437,1993,13818.89619,49811.44,493057,3,14.0,2709,1
826,3015,2014,13818.89619,341155.4,825462,3,14.0,2856,1
827,9040,1998,13818.89619,26756.48,115704,5,12.0,1864,1
828,2637,1993,13818.89619,80000.2,488944,3,16.0,2912,1
829,9316,1998,13818.89619,17391.71,160583,1,12.0,2340,0
830,2977,2002,13818.89619,36372.88,476994,1,12.0,2600,0
831,827,1988,13818.89619,105325.5,772525,2,16.0,2160,1
832,69,2002,12124.29216,86082.48,715245,2,18.0,2340,1
833,6080,1986,12124.29216,12922.49,266256,4,12.0,2360,1
834,415,1987,12124.29216,28790.94,444563,2,10.0,1800,1
835,3134,1986,12124.29216,21868.83,763135,3,12.0,1976,0
836,3228,2002,12124.29216,72745.75,585401,4,17.0,2080,1
837,9424,2002,12124.29216,84870.05,98127,1,13.0,3120,0
838,4371,1994,12124.29216,42666.24,574029,4,12.0,2495,1
839,8471,1986,12124.29216,42666.24,84346,2,12.0,2080,1
840,6286,2002,9699.433728,42666.24,123284,4,13.0,2080,1
841,11960,2004,9699.433728,46176.13,197094,4,17.0,1620,1
842,3558,2012,37992.99821000001,142473.8,693720,3,17.0,3200,1
843,1229,2012,37992.99821000001,66487.75,727122,2,12.0,2080,1
844,1144,1992,37992.99821000001,66833.45,656515,1,16.0,2830,0
845,4356,2012,37992.99821000001,47491.25,778990,1,17.0,3640,0
846,4356,2008,37992.99821000001,96245.46,748554,1,17.0,2080,0
847,3533,1994,37992.99821000001,149557.0,1118958,4,14.0,2540,1
848,3027,2002,37992.99821000001,30310.73,310705,4,12.0,2080,0
849,1901,2002,37992.99821000001,36372.88,902705,5,12.0,3356,1
850,7213,1986,37992.99821000001,41749.59,69066,4,12.0,3328,1
851,8862,1996,37992.99821000001,70703.9,117845,2,16.0,2340,1
852,3777,1996,37992.99821000001,48659.68,471176,5,12.0,2260,1
853,796,1996,37992.99821000001,82026.31,620180,2,16.0,2340,1
854,4829,2012,79785.29624,326578.3,546804,2,16.0,2860,1
855,3186,2006,79785.29624,326578.3,652774,1,16.0,2340,0
856,3062,1991,79785.29624,84881.27,734289,2,16.0,2080,1
857,4088,1987,79785.29624,113987.2,879863,2,13.0,2135,1
858,6544,1986,79785.29624,51689.97,116502,5,16.0,2496,1
859,4508,1985,79785.29624,37494.48,161856,1,16.0,2288,0
860,4318,2010,26000.0,65000.0,137861,1,14.0,2600,0
861,4318,2008,1924.909223,91179.91,127675,2,14.0,2600,1
862,4318,2006,8655.612549,34622.45,120980,2,14.0,2800,1
863,3777,1986,8655.612549,49701.89,455111,5,12.0,2080,1
864,6659,1989,8655.612549,21114.0,105774,1,14.0,4160,0
865,7430,1993,8655.612549,37735.94,433191,3,12.0,2080,1
866,5451,2000,8655.612549,60790.56,422188,4,12.0,2600,1
867,3777,1992,8655.612549,46627.99,452254,5,12.0,2600,1
868,2842,2012,8655.612549,94982.49,1366708,1,14.0,2600,0
869,2842,2010,4500.0,90000.0,1253755,1,14.0,3120,0
870,2999,1994,4500.0,36781.25,565988,2,13.0,3093,0
871,906,2014,4500.0,101338.6,831810,4,19.0,2600,0
872,4297,1994,4500.0,64734.99,490966,7,13.0,3280,1
873,5097,1988,4500.0,49782.73,613710,3,12.0,2430,1
874,1092,1989,4500.0,24633.01,639260,3,12.0,2176,0
875,4289,2008,40524.4047,311858.6,519268,4,20.0,2080,1
876,1315,2000,40524.4047,273810.8,585339,4,15.0,3120,1
877,7749,1996,40524.4047,33366.64,100208,4,16.0,3432,1
878,7563,2004,40524.4047,121212.3,313059,2,16.0,2080,1
879,4932,1996,40524.4047,39622.88,705585,4,12.0,2600,1
880,2637,1994,40524.4047,58849.99,500695,3,16.0,2976,1
881,606,1991,40524.4047,48046.0,647466,2,13.0,850,0
