,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
4981,3817,1987,113987.2,679416.0,2.0,18.0,29.0,2100.0,0.0,0.0,1.0,0.0,1.0
4982,3290,1990,85122.05,597273.0,3.0,20.0,29.0,2040.0,1.0,1.0,1.0,0.0,0.0
4983,9426,2004,80808.22,124434.0,5.0,16.0,46.0,2600.0,1.0,1.0,0.0,0.0,1.0
4984,12241,2000,20263.52,164058.0,2.0,12.0,41.0,2080.0,0.0,1.0,0.0,1.0,1.0
4985,5122,1991,59256.74,675630.0,3.0,12.0,32.0,3106.0,1.0,0.0,1.0,0.0,0.0
4986,2604,1991,32831.44,527058.0,3.0,12.0,27.0,2455.0,1.0,1.0,1.0,0.0,1.0
4987,2424,2010,32000.0,606405.0,3.0,12.0,47.0,2080.0,0.0,1.0,1.0,0.0,1.0
4988,201,1988,73752.19,718312.0,2.0,16.0,31.0,2990.0,1.0,1.0,1.0,0.0,1.0
4989,605,1994,74739.49,613122.0,5.0,12.0,31.0,3068.0,1.0,1.0,1.0,0.0,1.0
4990,6560,1990,123982.8,96145.0,5.0,16.0,33.0,3074.0,1.0,1.0,1.0,0.0,0.0
4991,12045,2012,61738.62,1093308.0,3.0,20.0,55.0,2600.0,1.0,1.0,1.0,0.0,1.0
4992,9548,1991,43241.4,169896.0,2.0,10.0,26.0,2210.0,1.0,1.0,0.0,0.0,0.0
4993,2819,2006,43241.4,642764.0,2.0,12.0,47.0,2496.0,0.0,1.0,1.0,0.0,1.0
4994,9778,1992,34193.86,103498.0,5.0,12.0,32.0,2080.0,0.0,1.0,0.0,0.0,0.0
4995,9422,2002,66683.61,83169.0,2.0,13.0,41.0,2080.0,1.0,0.0,0.0,1.0,1.0
4996,2295,2008,38498.18,822987.0,1.0,15.0,49.0,1760.0,0.0,0.0,1.0,0.0,0.0
4997,2350,1990,35050.25,136357.0,1.0,16.0,29.0,2155.0,0.0,0.0,0.0,1.0,1.0
4998,2896,2012,326578.3,1111447.0,4.0,18.0,51.0,2860.0,1.0,1.0,1.0,0.0,1.0
4999,2038,2012,326578.3,632474.0,6.0,18.0,50.0,2340.0,1.0,1.0,1.0,0.0,0.0
5000,142,1990,51740.85,546853.0,1.0,12.0,30.0,2080.0,1.0,0.0,1.0,0.0,1.0
